item,value,used_in,source_file,expression
share_species_Asteraceae_pct__releve,16.9129720853859,Results / response letter,Data_Outputs/releve.csv,"100 * n_distinct(releve[[species_col]][which(releve[[family_col]] == family_of_interest)], na.rm = TRUE)/n_distinct(releve[[species_col]], na.rm = TRUE)"
share_rows_Asteraceae_pct__releve,16.6915760869565,Results / response letter,Data_Outputs/releve.csv,"100 * sum(releve[[family_col]] == family_of_interest, na.rm = TRUE)/nrow(releve)"
locations__unique_lat_lon__canopy_leaf_vnir,448,Methods / response letter,Data_Outputs/canopy_leaf_chemistry.csv; leaf_struct_water_traits.csv; vnir_spectra.csv,nrow(locations)
share_rows_Asteraceae_pct__canopy__baviaanskloof,13.8972809667674,Results / response letter,Data_Outputs/canopy_leaf_chemistry.csv,"100 * sum(canopy[[family_col]][canopy$subregion == ""baviaanskloof""] == family_of_interest, na.rm = TRUE)/sum(canopy$subregion == ""baviaanskloof"")"
share_species_Asteraceae_pct__canopy__baviaanskloof,14.8484848484848,Results / response letter,Data_Outputs/canopy_leaf_chemistry.csv,"100 * n_distinct(canopy[[species_col]][canopy$subregion == ""baviaanskloof"" & canopy[[family_col]] == family_of_interest], na.rm = TRUE)/n_distinct(canopy[[species_col]][canopy$subregion == ""baviaanskloof""], na.rm = TRUE)"
share_rows_Asteraceae_pct__canopy__cape_point,12.8352490421456,Results / response letter,Data_Outputs/canopy_leaf_chemistry.csv,"100 * sum(canopy[[family_col]][canopy$subregion == ""cape_point""] == family_of_interest, na.rm = TRUE)/sum(canopy$subregion == ""cape_point"")"
share_species_Asteraceae_pct__canopy__cape_point,13.4426229508197,Results / response letter,Data_Outputs/canopy_leaf_chemistry.csv,"100 * n_distinct(canopy[[species_col]][canopy$subregion == ""cape_point"" & canopy[[family_col]] == family_of_interest], na.rm = TRUE)/n_distinct(canopy[[species_col]][canopy$subregion == ""cape_point""], na.rm = TRUE)"
share_rows_Asteraceae_pct__canopy__cederberg,14.4578313253012,Results / response letter,Data_Outputs/canopy_leaf_chemistry.csv,"100 * sum(canopy[[family_col]][canopy$subregion == ""cederberg""] == family_of_interest, na.rm = TRUE)/sum(canopy$subregion == ""cederberg"")"
share_species_Asteraceae_pct__canopy__cederberg,14.2857142857143,Results / response letter,Data_Outputs/canopy_leaf_chemistry.csv,"100 * n_distinct(canopy[[species_col]][canopy$subregion == ""cederberg"" & canopy[[family_col]] == family_of_interest], na.rm = TRUE)/n_distinct(canopy[[species_col]][canopy$subregion == ""cederberg""], na.rm = TRUE)"
share_rows_Asteraceae_pct__canopy__hangklip,11.3138686131387,Results / response letter,Data_Outputs/canopy_leaf_chemistry.csv,"100 * sum(canopy[[family_col]][canopy$subregion == ""hangklip""] == family_of_interest, na.rm = TRUE)/sum(canopy$subregion == ""hangklip"")"
share_species_Asteraceae_pct__canopy__hangklip,11.5830115830116,Results / response letter,Data_Outputs/canopy_leaf_chemistry.csv,"100 * n_distinct(canopy[[species_col]][canopy$subregion == ""hangklip"" & canopy[[family_col]] == family_of_interest], na.rm = TRUE)/n_distinct(canopy[[species_col]][canopy$subregion == ""hangklip""], na.rm = TRUE)"
share_rows_Asteraceae_pct__canopy__htr,32.3135755258126,Results / response letter,Data_Outputs/canopy_leaf_chemistry.csv,"100 * sum(canopy[[family_col]][canopy$subregion == ""htr""] == family_of_interest, na.rm = TRUE)/sum(canopy$subregion == ""htr"")"
share_species_Asteraceae_pct__canopy__htr,28.9189189189189,Results / response letter,Data_Outputs/canopy_leaf_chemistry.csv,"100 * n_distinct(canopy[[species_col]][canopy$subregion == ""htr"" & canopy[[family_col]] == family_of_interest], na.rm = TRUE)/n_distinct(canopy[[species_col]][canopy$subregion == ""htr""], na.rm = TRUE)"
share_rows_Asteraceae_pct__canopy__langeberg,15.4121863799283,Results / response letter,Data_Outputs/canopy_leaf_chemistry.csv,"100 * sum(canopy[[family_col]][canopy$subregion == ""langeberg""] == family_of_interest, na.rm = TRUE)/sum(canopy$subregion == ""langeberg"")"
share_species_Asteraceae_pct__canopy__langeberg,16.2790697674419,Results / response letter,Data_Outputs/canopy_leaf_chemistry.csv,"100 * n_distinct(canopy[[species_col]][canopy$subregion == ""langeberg"" & canopy[[family_col]] == family_of_interest], na.rm = TRUE)/n_distinct(canopy[[species_col]][canopy$subregion == ""langeberg""], na.rm = TRUE)"
share_rows_Asteraceae_pct__leafstruc__baviaanskloof,14.0124095139607,Results / response letter,Data_Outputs/leaf_struct_water_traits.csv,"100 * sum(leafstruc[[family_col]][leafstruc$subregion == ""baviaanskloof""] == family_of_interest, na.rm = TRUE)/sum(leafstruc$subregion == ""baviaanskloof"")"
