"scientific_name_original","scientific_name_MG","family_MG","scientific_name_WFO","scientific_name_authorship","family_WFO","perennial","annual","lifecycle_POSA","monoecious","dioecious","evergreen","deciduous","seasonally_apparent","seasonally_identifiable","flower_postfire","resprout_postfire","serotinous","flower_begin","flower_end","flower_begin_alt","flower_end_alt","max_height_cm","herb","geophyte","graminoid","low_shrub","mid_shrub","tall_shrub","tree","scrambler","liana","hemiparasite","parasite","missing_growthform_class","succulent","leaf_succulent","stem_succulent","other_succulent","leaf_type","lvs_linear","lvs_intermediate","lvs_oval","lvs_compound","lvs_lobed","lvs_dissected","leaf_length","virtually_no_leaves","stems_photosynthetic","functional_leaf","plant_longevity","flammability","pollination","dispersal"
"Coleonema album","Coleonema album","RUTACEAE","Coleonema album","(Thunb.) Bartl. & H.L.Wendl.","Rutaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Aug","Oct",NA,NA,200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,0.832,0,0,"leaf",2,"h","i","p"
"Coleonema aspalathoides","Coleonema aspalathoides","RUTACEAE","Coleonema aspalathoides","A.Juss.","Rutaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Apr","Nov",NA,NA,150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,0.803333333,0,0,"leaf",2,"h","i","p"
"Coleonema juniperinum","Coleonema juniperinum","RUTACEAE","Coleonema juniperinum","Sond.","Rutaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"May","Nov",NA,NA,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,0.642,0,0,"leaf",2,"h","i","p"
"Colpoon compressum","Osyris compressa","SANTALACEAE","Osyris compressa","A.DC.","Santalaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Dec","Jun",NA,NA,500,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,3.284615385,0,0,"leaf",2,"h","i","m"
"Commelina africana","Commelina africana","COMMELINACEAE","Commelina africana","L.","Commelinaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Nov","Jun",NA,NA,50,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,5.716666667,0,0,"leaf",1,"l","i","u"
"Commelina benghalensis","Commelina benghalensis","COMMELINACEAE","Commelina benghalensis","L.","Commelinaceae",0,1,"Annual",1,0,0,1,0,0,0,0,0,"Nov","Apr",NA,NA,30,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,20.5,0,0,"leaf",1,"l","i","u"
"Conophytum minusculum","Conophytum minusculum","AIZOACEAE","Conophytum minusculum","(N.E.Br.) N.E.Br.","Aizoaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Mar","Jun",NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"leaf",0,0,1,0,0,0,0.634,1,0,"leaf",2,"l","i","p"
"Conyza pinnatifida","Conyza pinnatifida","ASTERACEAE","Conyza pinnatifida","(Thunb.) Less.","Asteraceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Jan","May",NA,NA,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,1,1,NA,0,0,"leaf",2,"h","i","w"
"Corymbium africanum","Corymbium africanum","ASTERACEAE","Corymbium africanum","L.","Asteraceae",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Oct","Nov",NA,NA,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,22.47222222,0,0,"leaf",3,"l","i","w"
"Corymbium glabrum","Corymbium glabrum","ASTERACEAE","Corymbium glabrum","L.","Asteraceae",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Nov","Jan",NA,NA,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,1,0,0,0,0,16.53125,0,0,"leaf",3,"l","i","w"
"Cotula turbinata","Cotula turbinata","ASTERACEAE","Cotula turbinata","L.","Asteraceae",0,1,"Annual",1,0,0,1,1,1,0,0,0,"Jul","Oct",NA,NA,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,1,1,NA,0,0,"leaf",0,"l","i","w"
"Cotyledon orbiculata","Cotyledon orbiculata","CRASSULACEAE","Cotyledon orbiculata","L.","Crassulaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Sep","Dec",NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,"leaf",0,0,1,0,0,0,15.13333333,0,0,"leaf",3,"l","m","w"
