"sample_ID","scientific_name_original","family_MG","scientific_name_WFO","scientific_name_authorship_WFO","family_WFO","latitude","longitude","subregion","replicate","date","collector","sample","num_leaves","leaf_area_cm2","leaf_length_cm","avg_leaf_width_cm","max_leaf_width_cm","leaf_thickness_mm","leaf_fresh_wgt_g","leaf_dry_wgt_g","twig_fresh_g","twig_dry_g","lma","lwc","succulence","ldmc","lwr","twig_fwc","quality_flag"
"726_40_baviaanskloof_ASH","Polygala illepida","Polygalaceae","Polygala illepida","E.Mey. ex Harv. & Sond.","Polygalaceae",-33.55082,24.07446,"baviaanskloof","3",2011-07-26,"ASH",40,"80",3.61,0.8,0.07,0.08,0.309,0.13,0.058,0.209,0.119,160.664819944598,1.24137931034483,360.1108033241,0.446153846153846,11.4285714285714,0.756302521008403,""
"726_40_baviaanskloof_ASH","Polygala illepida","Polygalaceae","Polygala illepida","E.Mey. ex Harv. & Sond.","Polygalaceae",-33.55082,24.07446,"baviaanskloof","2",2011-07-26,"ASH",40,"85",3.12,0.7,0.08,0.09,0.349,0.106,0.046,0.342,0.188,147.435897435897,1.30434782608696,339.74358974359,0.433962264150943,8.75,0.819148936170213,""
"726_40_baviaanskloof_ASH","Polygala illepida","Polygalaceae","Polygala illepida","E.Mey. ex Harv. & Sond.","Polygalaceae",-33.55082,24.07446,"baviaanskloof","1",2011-07-26,"ASH",40,"70",3.23,0.87,0.07,0.08,0.221,0.092,0.037,0.372,0.198,114.551083591331,1.48648648648649,284.829721362229,0.402173913043478,12.4285714285714,0.878787878787879,""
"726_41_baviaanskloof_ASH","Pentameris eriostoma","Poaceae","Pentameris eriostoma","(Nees) Steud.","Poaceae",-33.55082,24.07446,"baviaanskloof","1",2011-07-26,"ASH",41,"2",11.42,32.3,0.2,0.3,0.427,0.734,0.409,0.48,0.218,358.143607705779,0.794621026894866,642.732049036778,0.557220708446866,161.5,1.20183486238532,""
"726_41_baviaanskloof_ASH","Pentameris eriostoma","Poaceae","Pentameris eriostoma","(Nees) Steud.","Poaceae",-33.55082,24.07446,"baviaanskloof","3",2011-07-26,"ASH",41,"2",12.96,39.2,0.2,0.3,0.508,0.994,0.537,0.905,0.471,414.351851851852,0.851024208566108,766.975308641975,0.540241448692153,196,0.921443736730361,""
"726_41_baviaanskloof_ASH","Pentameris eriostoma","Poaceae","Pentameris eriostoma","(Nees) Steud.","Poaceae",-33.55082,24.07446,"baviaanskloof","2",2011-07-26,"ASH",41,"2",13.36,30.6,0.2,0.4,0.497,0.864,0.428,NA,0.686,320.359281437126,1.01869158878505,646.706586826347,0.49537037037037,153,NA,""
"726_5_baviaanskloof_ASH","Othonna carnosa","Asteraceae","Othonna carnosa","Less.","Asteraceae",-33.55142,24.04194,"baviaanskloof","3",2011-07-26,"ASH",5,"2",3.94,5.3,0.4,0.5,3.5,1.233,0.042,0.41,0.099,106.598984771574,28.3571428571429,3129.44162436548,0.0340632603406326,13.25,3.14141414141414,""
"726_5_baviaanskloof_ASH","Othonna carnosa","Asteraceae","Othonna carnosa","Less.","Asteraceae",-33.55142,24.04194,"baviaanskloof","1",2011-07-26,"ASH",5,"1",3.39,6.7,0.5,0.6,3.3,1.187,0.029,0.723,0.119,85.5457227138643,39.9310344827586,3501.47492625369,0.0244313395113732,13.4,5.07563025210084,""
"726_5_baviaanskloof_ASH","Othonna carnosa","Asteraceae","Othonna carnosa","Less.","Asteraceae",-33.55142,24.04194,"baviaanskloof","2",2011-07-26,"ASH",5,"1",3.24,6.6,0.5,0.6,5.3,1.325,NA,0.496,0.116,NA,NA,4089.50617283951,NA,13.2,3.27586206896552,""
"726_6_baviaanskloof_ASH","Commelina africana","Commelinaceae","Commelina africana","L.","Commelinaceae",-33.55142,24.04194,"baviaanskloof","2",2011-07-26,"ASH",6,"4",11.54,3.9,0.9,1.2,0.423,0.392,0.06,0.21,0.022,51.9930675909879,5.53333333333333,339.688041594454,0.153061224489796,4.33333333333333,8.54545454545455,""
"726_6_baviaanskloof_ASH","Commelina africana","Commelinaceae","Commelina africana","L.","Commelinaceae",-33.55142,24.04194,"baviaanskloof","1",2011-07-26,"ASH",6,"4",9.36,3.1,0.8,1.1,0.365,0.335,0.054,0.275,0.027,57.6923076923077,5.2037037037037,357.905982905983,0.161194029850746,3.875,9.18518518518519,""
"726_6_baviaanskloof_ASH","Commelina africana","Commelinaceae","Commelina africana","L.","Commelinaceae",-33.55142,24.04194,"baviaanskloof","3",2011-07-26,"ASH",6,"3",10.73,10.1,0.4,0.5,0.423,0.421,0.082,0.223,0.04,76.4212488350419,4.13414634146341,392.357875116496,0.194774346793349,25.25,4.575,""
