scientific_name_original,scientific_name_MG,family_MG,scientific_name_WFO,scientific_name_authorship_WFO,family_WFO,perennial,annual,monoecious,dioecious,evergreen,deciduous,seasonally_apparent,seasonally_identifiable,flower_postfire,resprout_postfire,serotinous,flower_begin,flower_end,flower_begin_alt,flower_end_alt,max_height_cm,herb,geophyte,graminoid,low_shrub,mid_shrub,tall_shrub,tree,scrambler,liana,hemiparasite,parasite,missing_growthform_class,succulent,leaf_succulent,stem_succulent,other_succulent,lvs_linear,lvs_shape_other,lvs_oval,lvs_compound,lvs_lobed,lvs_dissected,leaf_length,virtually_no_leaves,stems_photosynthetic,functional_leaf,plant_longevity,flammability,pollination,dispersal,lvs_frond,lvs_cladode,lvs_phyllode,lvs_microphyll
Albuca cooperi,Albuca cooperi,Hyacinthaceae,Albuca cooperi,Baker,Asparagaceae,1,0,1,0,0,1,1,1,0,1,0,Sep,Nov,NA,NA,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,leaf,2,l,i,p,0,0,0,0
Albuca flaccida,Albuca flaccida,Hyacinthaceae,Albuca flaccida,Jacq.,Asparagaceae,1,0,1,0,0,1,1,1,0,1,0,Aug,Oct,NA,NA,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,leaf,2,l,i,p,0,0,0,0
Alepidea capensis,Alepidea capensis,Apiaceae,Alepidea capensis,(Berg.) R.A.Dyer,Apiaceae,1,0,1,0,1,0,0,1,0,1,0,Nov,Feb,NA,NA,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.34,0,0,leaf,2,l,i,p,0,0,0,0
Alepidea delicatula,Alepidea delicatula,Apiaceae,Alepidea delicatula,Weim.,Apiaceae,1,0,1,0,1,0,0,1,0,1,0,Jan,Feb,NA,NA,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,leaf,2,l,i,p,0,0,0,0
Allophylus decipiens,Allophylus decipiens,Sapindaceae,Allophylus decipiens,Radlk.,Sapindaceae,1,0,1,0,1,0,0,0,0,0,0,Nov,Jan,NA,NA,400,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,0,0,leaf,3,m,i,m,0,0,0,0
Aloe arborescens,Aloe arborescens,Asphodelaceae,Aloe arborescens,Mill.,Asphodelaceae,1,0,1,0,1,0,0,0,0,1,0,May,Jun,NA,NA,300,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,31.322,0,0,leaf,3,l,b,w,0,0,0,0
Aloe ciliaris,Aloe ciliaris,Asphodelaceae,Aloiampelos ciliaris,(Haw.) Klopper & Gideon F.Sm.,Asphodelaceae,1,0,1,0,1,0,0,0,0,0,0,Nov,Apr,NA,NA,500,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,NA,0,0,leaf,3,l,b,w,0,0,0,0
Aloe comptonii,Aloe comptonii,Asphodelaceae,Aloe comptonii,Reynolds,Asphodelaceae,1,0,1,0,1,0,0,0,0,0,0,Aug,Dec,NA,NA,100,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,29.53333333,0,0,leaf,3,l,b,w,0,0,0,0
Aloe ferox,Aloe ferox,Asphodelaceae,Aloe ferox,Mill.,Asphodelaceae,1,0,1,0,1,0,0,0,0,1,0,May,Nov,NA,NA,300,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,49.86666667,0,0,leaf,3,l,b,w,0,0,0,0
Aloe perfoliata,Aloe mitriformis,Asphodelaceae,Aloe perfoliata,L.,Asphodelaceae,1,0,1,0,1,0,0,0,0,0,0,Dec,Feb,NA,NA,200,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,NA,0,0,leaf,3,l,b,w,0,0,0,0
