"","field_1","NewUID","finalname","family_GM","latitude","longitude","region","date","collector","sample","height_cm","canopy_axis_1_cm","canopy_axis_2_cm","canopy_area_cm2","branch_order","pubescence","percent_N","percent_C","C_to_N_ratio","d_15N_14N","d_13C_12C","Chili","Elevation","TopoDiv","geometry"
"66",66,"815_12_HTR","Ischyrolepis monanthos","RESTIONACEAE",-31.28217,19.03465,"HTR",815,"BHR",12,65,30,20,471.238898,"0","N","0.419226072","46.77055674","111.5640459","1.599481748","-27.32907902",6450,782.93566902721,2.67857480049133,c(19.03465, -31.28217)
"67",67,"815_13_HTR","Calopsis marlothii","RESTIONACEAE",-31.28217,19.03465,"HTR",815,"BHR",13,70,20,20,314.1592654,"2","S","0.461330207","47.34912025","102.6360718","1.095393827","-26.36865319",6450,782.93566902721,2.67857480049133,c(19.03465, -31.28217)
"68",68,"815_14_HTR","NA","NA",-31.28217,19.03465,"HTR",815,"BHR",14,55,15,15,176.7145868,"0","N","2.082196205","44.62160137","21.43006565","4.84816224","-24.89568586",6450,782.93566902721,2.67857480049133,c(19.03465, -31.28217)
"69",69,"815_15_HTR","Festuca scabra","POACEAE",-31.28217,19.03465,"HTR",815,"BHR",15,30,15,10,117.8097245,"0","N","1.62411854","43.58064947","26.83341665","2.43696295","-27.91482974",6450,782.93566902721,2.67857480049133,c(19.03465, -31.28217)
"70",70,"815_16_HTR","Ficinia deusta","CYPERACEAE",-31.28217,19.03465,"HTR",815,"BHR",16,70,30,20,471.238898,"0","N","0.825492468","44.96412974","54.46946094","3.771642135","-24.42301457",6450,782.93566902721,2.67857480049133,c(19.03465, -31.28217)
"71",71,"815_17_HTR","Ficinia bulbosa","CYPERACEAE",-31.28217,19.03465,"HTR",815,"BHR",17,15,25,20,392.6990817,"0","N","2.45011316","46.33747796","18.91238279","3.204698764","-25.79728332",6450,782.93566902721,2.67857480049133,c(19.03465, -31.28217)
"72",72,"815_18_HTR","Hermannia cuneifolia","MALVACEAE",-31.28217,19.03465,"HTR",815,"BHR",18,40,35,20,549.7787144,"3","B","1.897666745","45.63667537","24.04883549","1.500915821","-28.08971861",6450,782.93566902721,2.67857480049133,c(19.03465, -31.28217)
"73",73,"815_19_HTR","Ischyrolepis capensis","RESTIONACEAE",-31.28217,19.03465,"HTR",815,"BHR",19,60,40,40,1256.637061,"1","N","0.629216841","46.43360178","73.79586616","2.730277402","-25.79430226",6450,782.93566902721,2.67857480049133,c(19.03465, -31.28217)
"74",74,"815_1_HTR","Protea repens","PROTEACEAE",-31.28217,19.03465,"HTR",815,"BHR",1,120,100,80,6283.185307,"3","N","0.503404343","52.32286658","103.9380516","4.422905364","-24.89804185",6450,782.93566902721,2.67857480049133,c(19.03465, -31.28217)
"75",75,"815_20_HTR","Oxalis flava","OXALIDACEAE",-31.28217,19.03465,"HTR",815,"BHR",20,12,9,3,21.20575041,"1","N","1.990029957","43.33171502","21.77440338","2.891698778","-28.57463773",6450,782.93566902721,2.67857480049133,c(19.03465, -31.28217)
