"species","genus_species_GM","family_GM","family_POSA","family_ITIS","perennial","annual","lifecycle_POSA","monoecious","dioecious","evergreen","deciduous","seasonally_apparent","seasonally_identifiable","flower_postfire","resprout_postfire","serotinous","flower_begin","flower_end","flower_begin_alt","flower_end_alt","max_height_cm","herb","geophyte","graminoid","low_shrub","mid_shrub","tall_shrub","tree","scrambler","liana","hemiparasite","parasite","missing_growthform_class","succulent","leaf_succulent","stem_succulent","other_succulent","leaf_type","lvs_linear","lvs_intermediate","lvs_oval","lvs_compound","lvs_lobed","lvs_dissected","leaf_length","virtually_no_leaves","stems_photosynthetic","functional_leaf","functional_twig","plant_longevity","flammability","pollination","dispersal","GM_description"
"Agathosma capensis","Agathosma capensis","RUTACEAE","RUTACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Jan","Dec","","",90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.474482759,0,0,"leaf","",2,"h","i","p","Resprouting shrub to 90 cm, sweetly spice-scented. Flowers in lax terminal clusters, white, pink, purple. Fruits 3-chambered. Jan.--Dec. Slopes and flats on shale, granite or coastal sands, less often on acid sand, NW, SW, KM, LB, SE (Namaqualand to Port Elizabeth)."
"Agathosma cerefolium","Agathosma cerefolium","RUTACEAE","RUTACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Aug","Jan","","",140,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,1,0,0,0,0,NA,0,0,"leaf","",2,"h","i","p","Single-stemmed shrublet to 1.4 m, strongly aniseed-scented. Flowers in lax terminal clusters, white, pink or mauve. Fruits 3-chambered. Aug.--Jan. Mostly limey coastal sands and limestone flats and hills, AP, SE (Hermanus to Humansdorp)."
"Agathosma ciliaris","Agathosma ciliaris","RUTACEAE","RUTACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"May","Dec","","",45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,1,0,0,0,0,0.62,0,0,"leaf","",2,"h","i","p","Dense, rounded shrublet to 45 cm, aniseed-scented. Flowers in terminal clusters, white or mauve. Fruits 3-chambered. May--Dec. Coastal flats to lower sandstone slopes and shale-bands, SW, AP (Cape Peninsula to Potberg)."
"Agathosma crenulata","Agathosma crenulata","RUTACEAE","RUTACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Jun","Nov","","",250,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Leaf",0,0,1,0,0,0,NA,0,0,"leaf","",2,"h","i","p","Single-stemmed shrub to 2.5 m, intensely aromatic. Flowers 1(--3) in leaf axils, relatively large, white or mauve, carpels 5. June--Nov. Middle slopes and valleys, NW, SW, LB (Ceres to Swellendam)."
"Agathosma distans","Agathosma distans","RUTACEAE","RUTACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Sep","Sep","","",100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,1,1,0,0,0,2,0,0,"leaf","",2,"h","i","p","Shrub to 1 m, strongly scented. Leaves large, spine-tipped. Flowers solitary, terminal on short axillary shoots, white with purple dots. Fruits 5-chambered, horns small. Sept. Rocky places on upper slopes, NW (N Cedarberg Mts)."
"Agathosma divaricata","Agathosma divaricata","RUTACEAE","RUTACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Sep","Nov","","",30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,0,1,0,0,0,0.5,0,0,"leaf","",2,"h","i","p","Single-stemmed, rounded shrublet to 30 cm, branching profusely at ground level, strongly unpleasantly scented. Flowers 1--4, terminal, solitary or paired, white, pink or purple with darker midline. Fruits (3--)4(--5)-chambered. Sept.--Nov. Shale bands, upper slopes, NW (Cedarberg Mts, Cold Bokkeveld Mts and Swartruggens)."
"Agathosma hookeri","Agathosma hookeri","RUTACEAE","RUTACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Aug","Nov","","",30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.7,0,0,"leaf","",2,"h","i","p","Resprouting shrublet to 30 cm. Flowers in dense involucrate heads, white. Fruits 3-chambered. Aug.--Nov. Coastal sandy flats and lower slopes, SW (Cape Peninsula to Betty's Bay)."
"Agathosma imbricata","Agathosma imbricata","RUTACEAE","RUTACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Jun","Jan","","",100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,1,0,0,0,0,0.348461538,0,0,"leaf","",2,"h","i","p","Resprouting, leafy shrub to 1 m, sweetly or herb-scented. Flowers in dense terminal clusters, white, pink or purple. Fruits 3-chambered. June--Jan. Granite, limey or sandy well-drained or seasonally damp slopes and flats, SW, AP, SE (Tulbagh to Knysna)."
"Agathosma kougaense","Agathosma kougaense","RUTACEAE","RUTACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Jul","Nov","","",20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,1,0,0,0,0,1,0,0,"leaf","",2,"m","i","p","Slender leafy shrub to 20 cm. Flowers in pairs in the axils, white,. Fruits 1(--2)-chambered. July--Nov. Rocky slopes at high altitude, SE (Uniondale to Kouga Mts)."
"Agathosma lanceolata","Agathosma lanceolata","RUTACEAE","RUTACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Apr","Oct","","",50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,0,1,0,0,0,0.483333333,0,0,"leaf","",2,"h","i","p","Single-stemmed, tangled, spreading shrublet to 50 cm, licorice-scented. Flowers in lax terminal clusters, pink to deep mauve. Fruits 3-chambered. Apr.--Oct. South-facing sandstone slopes, SW (Cape Peninsula)."
