NewUID,sample_id,replicate,ScientificName_WFO,twig_fwc,trait_ratio,twig_fresh_g,comp1_dev,twig_dry_g,comp2_dev,suspected_bad,cv,flag_high_cv,confidence
629_9_hangklip,629_9_hangklip_EFG,5,Indigofera candolleana,0.04516129,0.05764705843007612,0.162,0.4756638582303444,0.155,1.2208419697730477,twig_dry_g,0.5447114010819613,TRUE,both
726_25_baviaanskloof,726_25_baviaanskloof_ASH,3,Asparagus africanus,0.407894737,0.0570703868342657,0.107,0.562313761775956,0.076,0.5755021714720897,twig_dry_g,1.5638233319292085,TRUE,both
804_4_cape_point,804_4_cape_point_a,2,Erica subcapitata,0.417177914,0.05493990784258344,0.231,1.1940106199666252,0.163,1.662227627047859,twig_dry_g,1.543320843660735,TRUE,both
723_4_cederberg,723_4_cederberg_JS,1,Eriocephalus africanus,0.026392962,0.05325490877419782,0.35,1.151487753185636,0.341,0.6115116332543357,twig_fresh_g,0.7780357411557401,TRUE,both
723_3_baviaanskloof,723_3_baviaanskloof_TEM,1,Stoebe plumosa,0.045454545,0.05073051897321428,0.138,0.7802187921200898,0.132,0.07860983469636647,twig_fresh_g,1.2776537372558916,TRUE,both
703_3_langeberg,703_3_langeberg_EFG,2,Leucadendron spissifolium,0.051679587,0.04669335729872183,0.407,0.9075993625306046,0.387,0.5167049723175954,twig_fresh_g,0.9490426120353901,TRUE,both
723_10_cape_point,723_10_cape_point_a,1,Coleonema album,0.056122449,0.03831409956448487,0.207,0.29235497950401534,0.196,0.9780852235715592,twig_dry_g,1.0525414087738716,TRUE,both
621_15_hangklip,621_15_hangklip_CC,2,Capeochloa cincta,0.056074766,0.02710155429703333,1.13,1.2038525391015622,1.07,0.19303036170510496,twig_fresh_g,0.8181409645660506,TRUE,both
810_12_cape_point,810_12_cape_point_b,3,Chironia linoides,3.138888889,2.635116597261935,0.149,0,0.036,0.9175378398080273,twig_dry_g,0.4976371668324485,FALSE,ratio_only
702_12_langeberg,702_12_langeberg_TEM,3,Pentameris curvifolia,1.882352941,2.4410798266740716,0.147,0.009781020792585608,0.051,0.7026140893754292,twig_dry_g,0.4915334512482735,FALSE,ratio_only
820_12_htr,820_12_htr_MAL,4,Osteospermum acanthospermum,9.428571429,2.4229848363945035,0.073,0.6303544035351705,0.007,1.7162070339994087,twig_dry_g,0.49579266003744343,FALSE,ratio_only
806_4_htr,806_4_htr_EPO,2,Lotononis falcata,1.705882353,2.392313100011522,0.046,1.4932463316295412,0.017,2.2163179069267636,twig_dry_g,0.5038057420575811,FALSE,ratio_only
708_15_langeberg,708_15_langeberg_EFG,3,Helichrysum patulum,2.830188679,2.268040351165245,0.203,0.6361602777973727,0.053,1.4065058656577272,twig_dry_g,0.459354719629895,FALSE,ratio_only
807_14_htr,807_14_htr_HKM,2,Oxalis obtusa,5.666666667,2.2666666668,0.02,0.5145731728297582,0.003,0.4150374992788438,twig_fresh_g,0.5016001606023301,FALSE,ratio_only
712_25_baviaanskloof,712_25_baviaanskloof_JL,2,Setaria sphacelata,4.193548387,2.2412125645999588,0.161,0.5938956254911639,0.031,1.4636562044990227,twig_dry_g,0.507331045485951,FALSE,ratio_only
620_19_hangklip,620_19_hangklip_HKM,1,Diosma oppositifolia,1.346428571,2.2245577745601053,0.657,0.44034142730266523,0.28,0.9844591491042219,twig_dry_g,0.4425319538644033,FALSE,ratio_only
803_21_cape_point,803_21_cape_point_b,2,Euryops abrotanifolius,4.833333333,2.213986492097224,0.07,1.0995356735509145,0.012,2.0732489820306386,twig_dry_g,0.46272779560370325,FALSE,ratio_only
723_19_cederberg,723_19_cederberg_JS,1L,Ficinia deusta,1.281690141,2.2069225254034373,0.162,1.5212369031107689,0.071,1.9949111233272006,twig_dry_g,0.5057147331287736,FALSE,ratio_only
706_9_langeberg,706_9_langeberg_EFG,2,Thesium confusum,1.621052632,2.195228442385734,0.249,0.33231970073395795,0.095,0.7384834218084593,twig_dry_g,0.500455887253813,FALSE,ratio_only
804_20_cape_point,804_20_cape_point_a,5,Metalasia densa,1.095238095,2.185298437849193,0.044,1.500570313430784,0.021,1.9296106721086017,twig_dry_g,0.4168253487409736,FALSE,ratio_only
814_30_htr,814_30_htr_RDG,1,Drosanthemum floribundum,1.111111111,2.1490233512319694,0.133,0.06883887632799797,0.063,0.5462820325570963,twig_dry_g,0.4796963742798024,FALSE,ratio_only
804_30_cape_point,804_30_cape_point_a,1,Aristea africana,1.214285714,2.148351649002959,0.031,0.21572869105543707,0.014,0.8365012677171207,twig_dry_g,0.4729940393273697,FALSE,ratio_only
620_11_hangklip,620_11_hangklip_HKM,3,Aspalathus forbesii,2.207253886,2.1453331899180585,1.238,0.5846711943010069,0.386,0.10102992023124477,twig_fresh_g,0.42475349601567164,FALSE,ratio_only
620_45_hangklip,620_45_hangklip_CM,5,Ursinia paleacea,5.446808511,2.1440144488965456,0.606,0.12860266086497318,0.094,1.0266117302473197,twig_dry_g,0.4257302802675536,FALSE,ratio_only
709_18_langeberg,709_18_langeberg_JAS,1,Amphithalea cymbifolia,1.014778325,2.128504759382609,0.409,0.5660261167525799,0.203,1.0141441823202697,twig_dry_g,0.473446943790513,FALSE,ratio_only
729_30_cape_point,729_30_cape_point_b,5,Anthospermum bergianum,2.19047619,2.1248820067745426,0.067,0.2205991395133974,0.021,0.46566357234881184,twig_dry_g,0.4584176499150081,FALSE,ratio_only
702_18_langeberg,702_18_langeberg_TEM,5,Diospyros glabra,1.880733945,2.0991475291066433,0.314,0.4535721006978332,0.109,1.0710194633200176,twig_dry_g,0.4162378577399718,FALSE,ratio_only
820_24_htr,820_24_htr_MAL,3,Chlorophytum graminifolium,12.33333333,2.0931748261093195,0.12,0.9259994185562233,0.009,1.8744691179161412,twig_dry_g,0.4152042675711175,FALSE,ratio_only
727_24_baviaanskloof,727_24_baviaanskloof_HK,3,Stipa dregeana,4.772277228,2.08722088893583,0.583,0.8276025128781667,0.101,0.021586862208145832,twig_fresh_g,0.4642064217790483,FALSE,ratio_only
811_12_htr,811_12_htr_HKM,3,Heliophila crithmifolia,6.6,2.084210526096399,0.038,0.3959286763311394,0.005,1.2630344058337937,twig_dry_g,0.49714674711711665,FALSE,ratio_only
708_3_baviaanskloof,708_3_baviaanskloof_KE,1,Othonna carnosa,4.547619048,2.074614383071612,0.699,0.5856503172018311,0.126,1.412889032700267,twig_dry_g,0.468930575621287,FALSE,ratio_only
703_1_baviaanskloof,703_1_baviaanskloof_JL,1,Grewia robusta,1.93220339,2.0643629866684403,0.346,0.503481098582514,0.118,1.2127539734307153,twig_dry_g,0.5016494737900905,FALSE,ratio_only
709_14_langeberg,709_14_langeberg_JAS,4,Cymbopogon marginatus,2.61928934,2.059527980221327,0.713,0.17055745730307856,0.197,0.4864726373217929,twig_dry_g,0.45173983376059085,FALSE,ratio_only
820_12_htr,820_12_htr_MAL,3,Osteospermum acanthospermum,8,2.0558659216958275,0.135,0.39733549754538494,0.015,0.6166713604484944,twig_dry_g,0.49579266003744343,FALSE,ratio_only
723_29_cape_point,723_29_cape_point_a,3,Helichrysum patulum,5.9,2.0513513511192474,0.069,0.6596598679987571,0.01,1.4854268271702418,twig_dry_g,0.4501229271924443,FALSE,ratio_only
727_3_baviaanskloof,727_3_baviaanskloof_HK,2,Asparagus africanus,1.154320988,2.050913360003079,0.349,1.435855970786398,0.162,0.9735277886388091,twig_fresh_g,0.4495399199435663,FALSE,ratio_only
621_11_hangklip,621_11_hangklip_CC,5,Pseudopentameris brachyphylla,2.3203125,2.0492847808767336,0.425,0.7585289294142338,0.128,1.3106127816595283,twig_dry_g,0.3706955383209056,FALSE,ratio_only
621_10_hangklip,621_10_hangklip_CC,4,Nivenia levynsiae,2.863179074,2.048821570161729,1.92,1.4443883230112544,0.497,0.6510403521339448,twig_fresh_g,0.4094108740641831,FALSE,ratio_only
628_10_hangklip,628_10_hangklip_HKM,3,Erica intonsa,0.9,2.04012219923949,0.171,0.38994651831601335,0.09,0.04064198449734608,twig_fresh_g,0.4906766969706633,FALSE,ratio_only
621_16_hangklip,621_16_hangklip_CC,4,Osmitopsis asteriscoides,7.741741742,2.016921582535654,2.911,0.36168534860937684,0.333,0.4117845214837561,twig_dry_g,0.3721089192765589,FALSE,ratio_only
726_15_baviaanskloof,726_15_baviaanskloof_ASH,3,Pentameris eriostoma,2.616161616,2.016887944563949,0.358,0.13823604219211993,0.099,0.8863432182044327,twig_dry_g,0.46915530130374294,FALSE,ratio_only
731_31_cederberg,731_31_cederberg_SM,3,Calobota cytisoides,1.756097561,2.011509707065815,0.565,0.2277219251471072,0.205,0.34510553877282707,twig_dry_g,0.36765980274127197,FALSE,ratio_only
807_18_htr,807_18_htr_HKM,2,Berkheya eriobasis,1.492063492,2.011340777820969,0.314,1.03629612922299,0.126,1.5521506306462345,twig_dry_g,0.39933353683606,FALSE,ratio_only
723_9_cape_point,723_9_cape_point_c,3,Asparagus lignosus,2.088888889,2.0058147649277833,0.278,1.6795307283781113,0.09,2.26637011839705,twig_dry_g,0.4355388244225267,FALSE,ratio_only
818_53_htr,818_53_htr_EPO,3,Pentameris pallida,2.666666667,2.00000000075,0.011,0.34792330342030686,0.003,1,twig_dry_g,0.47140452102673397,FALSE,ratio_only
