NewUID,sample_id,replicate,ScientificName_WFO,ldmc,trait_ratio,leaf_fresh_wgt_g,comp1_dev,leaf_dry_wgt_g,comp2_dev,suspected_bad,cv,flag_high_cv,confidence
723_1_cape_point,723_1_cape_point_c,1,Struthiola ciliata,0.290322581,0.47479303510027504,0.062,0.19930880822340638,0.018,0.8073549220576042,leaf_dry_wgt_g,0.445117553819903,TRUE,both
724_14_cederberg,724_14_cederberg_SM,3,Othonna quinquedentata,0.189414115,0.4743401633051515,3.004,1.7118911739192173,0.569,0.47280474280113577,leaf_fresh_wgt_g,0.3748673412554106,TRUE,both
625_11_hangklip,625_11_hangklip_ET,1,Gnidia oppositifolia,0.201149425,0.4728945618928276,0.174,0.7665098697802215,0.035,1.8594016698271993,leaf_dry_wgt_g,0.3255794208777926,TRUE,both
724_14_cederberg,724_14_cederberg_SM,8,Othonna quinquedentata,0.188209607,0.4713237749994418,2.29,1.3203539593892517,0.431,0.07206395958365215,leaf_fresh_wgt_g,0.3748673412554106,TRUE,both
708_17_baviaanskloof,708_17_baviaanskloof_KE,1,Andropogon appendiculatus,0.185628743,0.47106564787458977,0.167,0.40093055308346837,0.031,1.505235308250422,leaf_dry_wgt_g,0.3802326584065097,TRUE,both
704_31_langeberg,704_31_langeberg_TEM,3,Ocotea bullata,0.20042796,0.46794169129429536,1.402,0.23410211354846133,0.281,0.8641641095244024,leaf_dry_wgt_g,0.26917640479409155,TRUE,both
818_41_htr,818_41_htr_EPO,1,Gymnodiscus capillaris,0.040540541,0.467763265355242,0.148,1.4150374992788437,0.006,0.41503749927884376,leaf_fresh_wgt_g,0.5316305901000272,TRUE,both
729_8_cederberg,729_8_cederberg_DEB,1,Ruschia aspera,0.173295455,0.4625367896878377,1.408,0.27331737909565457,0.244,0.1825444879734259,leaf_fresh_wgt_g,0.5470881417640407,TRUE,both
625_11_hangklip,625_11_hangklip_ET,4,Gnidia oppositifolia,0.196202532,0.46126460670918396,0.158,0.9056726174518469,0.031,2.0344883763852906,leaf_dry_wgt_g,0.3255794208777926,TRUE,both
702_17_baviaanskloof,702_17_baviaanskloof_DEB,3,Anthospermum galioides,0.148760331,0.45172994686110157,0.121,0.6318835481086488,0.018,1.7725895038969277,leaf_dry_wgt_g,0.38989128160138325,TRUE,both
729_8_cederberg,729_8_cederberg_DEB,3,Ruschia aspera,0.16872428,0.4503360276447634,1.215,0.06062635895150064,0.205,0.18470604514883435,leaf_dry_wgt_g,0.5470881417640407,TRUE,both
724_9_cederberg,724_9_cederberg_SM,3,Solanum tomentosum,0.256564141,0.446289200590223,1.333,1.2486041044801806,0.342,0.2108381947083656,leaf_fresh_wgt_g,0.358914158239017,TRUE,both
729_8_cederberg,729_8_cederberg_DEB,2,Ruschia aspera,0.166380789,0.44408109843267096,1.166,0.0012378336588536195,0.194,0.26427330246715264,leaf_dry_wgt_g,0.5470881417640407,TRUE,both
703_18_langeberg,703_18_langeberg_EFG,5,Restio stokoei,0.229998072,0.4361400566155877,5.187,2.3959725933199523,1.193,1.21475377850135,leaf_fresh_wgt_g,0.5291871394258076,TRUE,both
805_8_htr,805_8_htr_MAL,2,Pteronia glabrata,0.029372497,0.43602657775429804,2.247,0.6774299940716187,0.066,0.07454695336505403,leaf_fresh_wgt_g,0.737304817559987,TRUE,both
724_9_cederberg,724_9_cederberg_SM,6,Solanum tomentosum,0.250322581,0.43543210726463655,0.775,0.4661955395528072,0.194,0.6715501857172469,leaf_dry_wgt_g,0.358914158239017,TRUE,both
625_17_hangklip,625_17_hangklip_EFG,5,Edmondia sesamoides,0.208333333,0.43402777708333334,0.168,1.1634987322828796,0.035,0.08017034868398316,leaf_fresh_wgt_g,0.3363116268415502,TRUE,both
724_15_cederberg,724_15_cederberg_SM,10,Aspalathus polycephala,0.220172202,0.42739309812570386,0.813,2.925644555673881,0.179,1.576925181655738,leaf_fresh_wgt_g,0.42512373357798605,TRUE,both
814_10_cape_point,814_10_cape_point_a,2,Myrica cordifolia,0.156970362,0.4202602723667961,0.911,1.0631229190251243,0.143,0.2913397750539393,leaf_fresh_wgt_g,0.3460604223457937,TRUE,both
