NewUID,sample_id,replicate,ScientificName_WFO,fwc,trait_ratio,leaf_fresh_wgt_g,comp1_dev,leaf_dry_wgt_g,comp2_dev,suspected_bad,cv,flag_high_cv,confidence
712_9_baviaanskloof,712_9_baviaanskloof_JL,2,Freylinia undulata,1.711340206,2.6953947882100304,0.263,0.7674559613879278,0.097,0.0376704179660551,leaf_fresh_wgt_g,0.6254023378827963,TRUE,both
724_4_cederberg,724_4_cederberg_SM,5,Ficinia bulbosa,1.506329114,2.6936708877328965,0.198,1.2654611432283338,0.079,2.0226487389452004,leaf_dry_wgt_g,0.5729862907319718,TRUE,both
729_1_cederberg,729_1_cederberg_DEB,1,Cannomois parviflora,2.786549708,2.629546314651009,14.245,0.4021559241331679,3.762,1.3026249564917394,leaf_dry_wgt_g,0.5489478932335593,TRUE,both
801_17_cederberg,801_17_cederberg_EFG,3,Rafnia capensis,2.875968992,2.565196757919359,0.7,0.6797216423317304,0.1806,0.18282601691195016,leaf_fresh_wgt_g,0.5320614440326056,TRUE,both
724_14_cederberg,724_14_cederberg_SM,5,Othonna quinquedentata,3.746388443,2.490536949509829,2.957,1.6891406045252697,0.623,0.6036082535185558,leaf_fresh_wgt_g,0.5325178828460101,TRUE,both
710_26_baviaanskloof,710_26_baviaanskloof_HK,1,Ehrharta ramosa,4.787735849,2.484021604236998,1.227,0.353330194026496,0.212,1.3435419079934252,leaf_dry_wgt_g,0.5733784728476976,TRUE,both
703_30_baviaanskloof,703_30_baviaanskloof_JL,1,Passerina obtusifolia,1.955555556,2.4752511406841697,0.133,0.1245450979383033,0.045,0.5956097449206648,leaf_dry_wgt_g,0.5829378602068748,TRUE,both
711_32_baviaanskloof,711_32_baviaanskloof_TEM,2,Chironia linoides,3.8,2.4733727816505024,0.24,0.7827692837793307,0.05,0.13750352374993477,leaf_fresh_wgt_g,0.5704908533256055,TRUE,both
723_8_cape_point,723_8_cape_point_c,3,Pelargonium gibbosum,10.2173913,2.35011190915526,0.258,0.7602622140773443,0.023,3.3281870853590445,leaf_dry_wgt_g,0.8589950095763653,TRUE,both
724_13_cederberg,724_13_cederberg_SM,8,Diosma acmaephylla,2.496143959,2.340134960831208,1.36,1.7228904089544834,0.389,1.237304130740376,leaf_fresh_wgt_g,0.5906393834842584,TRUE,both
703_3_langeberg,703_3_langeberg_EFG,2,Leucadendron spissifolium,2.398550725,2.3396826221458,0.469,0.6422229318041911,0.138,0.29661700635817456,leaf_fresh_wgt_g,0.664072258914473,TRUE,both
727_30_cape_point,727_30_cape_point_b,3,Erica subcapitata,2.813953488,2.338256562104763,0.164,0.11914726529300448,0.043,0.671767328258429,leaf_dry_wgt_g,0.5343297483166494,TRUE,both
724_9_cederberg,724_9_cederberg_SM,8,Solanum tomentosum,1.729216152,2.3380380864807266,1.149,1.0343061220373206,0.421,0.5106621028888636,leaf_fresh_wgt_g,0.6879824651743393,TRUE,both
711_1_baviaanskloof,711_1_baviaanskloof_TEM,1,Erica umbelliflora,1.46875,2.320897833167987,0.079,0.10561018796059861,0.032,0.6724253419714956,leaf_dry_wgt_g,0.5945415492834792,TRUE,both
625_10_hangklip,625_10_hangklip_EFG,4,Erica ericoides,2.220588235,2.3133296977666817,0.438,0.5507853854030685,0.136,0.1886615640238981,leaf_fresh_wgt_g,0.5680252806074209,TRUE,both
622_1_hangklip,622_1_hangklip_TEM,5,Erica cristata,1.075862069,2.3113798910230927,0.301,0.3357742207541905,0.145,0.10086168011566823,leaf_fresh_wgt_g,0.4735742576987239,TRUE,both
727_10_baviaanskloof,727_10_baviaanskloof_HK,1,Pelargonium myrrhifolium,3.666666667,2.310953507149203,0.434,1.647809066395291,0.093,0.8249132934419089,leaf_fresh_wgt_g,0.5412745168860948,TRUE,both
625_16_hangklip,625_16_hangklip_ET,9,Podalyria calyptrata,3.851851852,2.2998236329252992,0.131,0.5812868425777579,0.027,1.6880559936852597,leaf_dry_wgt_g,0.4420909304719446,TRUE,both
620_15_hangklip,620_15_hangklip_HKM,3,Chrysocoma coma-aurea,6.72,2.2822641509003345,0.193,0.6719855629585217,0.025,1.454175893185802,leaf_dry_wgt_g,0.4262810390699145,TRUE,both
724_14_cederberg,724_14_cederberg_SM,9,Othonna quinquedentata,3.422268908,2.275067654145188,2.105,1.198826594358704,0.476,0.2153376638024974,leaf_fresh_wgt_g,0.5325178828460101,TRUE,both
