NewUID,sample_id,replicate,ScientificName_WFO,succulence,trait_ratio,leaf_fresh_wgt_g,comp1_dev,leaf_area_cm2,comp2_dev,suspected_bad,cv,flag_high_cv,confidence
701_13_baviaanskloof,701_13_baviaanskloof_KE,3,Aristida congesta,0.011794872,0.20885567961959556,0.046,1.0310268956206246,1.95,0.033683126256288595,leaf_fresh_wgt_g,1.3472583219408958,TRUE,both
721_20_cape_point,721_20_cape_point_b,2,Elegia filacea,0.010945274,0.20343286456041015,0.108,0.7803878744573346,2.01,0.007195501404203766,leaf_fresh_wgt_g,0.6402963048869614,TRUE,both
709_22_baviaanskloof,709_22_baviaanskloof_TEM,3,Senecio linifolius,0.091596639,0.2005306678402724,0.604,1.7266580174195487,5.95,0.3603203295697753,leaf_fresh_wgt_g,1.2083889459162007,TRUE,both
729_8_cederberg,729_8_cederberg_DEB,9,Ruschia aspera,0.026214689,0.199307152524803,0.371,1.6520766965796931,8.85,0.006505963859410299,leaf_fresh_wgt_g,0.7785419178934536,TRUE,both
729_2_htr,729_2_htr_MAL,3,Eriocephalus decussatus,0.004347826,0.19490725250982827,0.071,1.0694214009574798,8.05,1.0089887832272548,leaf_fresh_wgt_g,0.8449738212242947,TRUE,both
813_7_htr,813_7_htr_MAL,1,Hermannia cuneifolia,0.028027682,0.19174305613556133,0.237,0.3352584252998459,5.78,0.23387807616009848,leaf_fresh_wgt_g,1.3310836455184911,TRUE,both
729_8_cederberg,729_8_cederberg_DEB,8,Ruschia aspera,0.024616147,0.18715362843717015,1.011,0.20578479129748187,20.19,1.1898915503611136,leaf_area_cm2,0.7785419178934536,TRUE,both
810_19_cape_point,810_19_cape_point_b,3,Schoenus exilis,0.008133971,0.18632468596481735,0.109,1.376473918054956,2.09,0.7314327204973784,leaf_fresh_wgt_g,0.5221129067795649,TRUE,both
719_22_baviaanskloof,719_22_baviaanskloof_JAS,2,Pelargonium ovale,0.024713584,0.18569762972041032,0.199,0.33741660215637,6.11,1.304326879729722,leaf_area_cm2,1.3088274474163202,TRUE,both
729_8_cederberg,729_8_cederberg_DEB,10,Ruschia aspera,0.023801221,0.18095784329631162,1.165,0.001237833658853792,22.94,1.3741160310454652,leaf_area_cm2,0.7785419178934536,TRUE,both
723_8_cape_point,723_8_cape_point_c,2,Pelargonium gibbosum,0.005416667,0.17646546770279797,0.472,0.5163208351160253,9.6,0.0022559739403676363,leaf_fresh_wgt_g,0.6749163069810856,TRUE,both
725_48_cape_point,725_48_cape_point_c,2,Lobelia pinifolia,0.032524272,0.17308964104441546,0.102,1.906890595608519,2.06,0.010466999051068886,leaf_fresh_wgt_g,1.3542909681472497,TRUE,both
719_22_baviaanskloof,719_22_baviaanskloof_JAS,3,Pelargonium ovale,0.022675737,0.16909067830666713,0.13,0.5625946876927016,4.41,0.40785827367453864,leaf_fresh_wgt_g,1.3088274474163202,TRUE,both
