NewUID,sample_id,replicate,ScientificName_WFO,leaf_thickness_mm,measure_ratio,cv,flag_high_cv,confidence
723_10_cederberg,723_10_cederberg_JS,5C,Ficinia nigrescens,0.585,2.0598591549295775,0.46308725034214915,TRUE,both
703_24_langeberg,703_24_langeberg_HKM,1,Erica melanthera,0.278,2.0516605166051662,0.41032280610473537,TRUE,both
813_13_htr,813_13_htr_MAL,1,Eriocephalus purpureus,0.284,2.050541516245487,0.39750458601709754,TRUE,both
723_10_cederberg,723_10_cederberg_JS,4C,Ficinia nigrescens,0.582,2.0492957746478875,0.46308725034214915,TRUE,both
723_10_cederberg,723_10_cederberg_JS,2C,Ficinia nigrescens,0.58,2.0422535211267605,0.46308725034214915,TRUE,both
703_28_baviaanskloof,703_28_baviaanskloof_JL,2,Pelargonium peltatum,0.905,2.031425364758698,0.45851918450628076,TRUE,both
724_9_cederberg,724_9_cederberg_SM,8,Solanum tomentosum,0.854,2.018912529550827,0.3808997579939059,TRUE,both
801_5_cederberg,801_5_cederberg_EFG,5c,Ficinia cedarbergensis,1.057,2.0171755725190836,0.45666986156329875,TRUE,both
801_10_htr,801_10_htr_MAL,2,Lapeirousia plicata,0.697,2.0028735632183907,0.49439812995384425,TRUE,both
620_39_hangklip,620_39_hangklip_CM,5,Hermas villosa,0.31,0.49206349206349204,0.39561540136196477,TRUE,both
621_37_hangklip,621_37_hangklip_CC,9,Erica perspicua,0.025,0.4901960784313726,0.6068926335548221,TRUE,both
725_29_cape_point,725_29_cape_point_c,2,Stoebe scabra,0.008,0.48484848484848486,0.4029929668745928,TRUE,both
803_21_cape_point,803_21_cape_point_b,2,Euryops abrotanifolius,0.456,0.48305084745762716,0.38004843378746594,TRUE,both
820_28_htr,820_28_htr_MAL,3,Eriocephalus namaquensis,0.137,0.479020979020979,0.38211546545753544,TRUE,both
730_14_cederberg,730_14_cederberg_JS,5l,Schoenus compar,0.447,0.4780748663101604,0.48399624331440344,TRUE,both
731_3_htr,731_3_htr_HKM,1,Asparagus capensis,0.156,0.4748858447488584,0.43985797069206345,TRUE,both
814_27_htr,814_27_htr_RDG,3,Eriocephalus namaquensis,0.161,0.4728340675477239,0.4568403678947366,TRUE,both
723_10_cederberg,723_10_cederberg_JS,4L,Ficinia nigrescens,0.222,0.4703389830508475,0.46308725034214915,TRUE,both
725_6_cape_point,725_6_cape_point_c,2,Staavia radiata,0.011,0.4680851063829787,0.39504962887550343,TRUE,both
709_4_langeberg,709_4_langeberg_JAS,3L,Schoenus compar,0.377,0.4648581997533908,0.3962930722717485,TRUE,both
801_17_htr,801_17_htr_MAL,1,Eriocephalus ericoides,0.142,0.459546925566343,0.4216915382867007,TRUE,both
627_9_hangklip,627_9_hangklip_CM,5,Grubbia tomentosa,0.361,0.45812182741116747,0.3914621767962484,TRUE,both
804_14_cape_point,804_14_cape_point_a,2,Ifloga ambigua,0.121,0.4540337711069418,0.4318509517276048,TRUE,both
804_26_cape_point,804_26_cape_point_a,4,Microdon dubius,0.327,0.450723638869745,0.45396584520738886,TRUE,both
801_5_cederberg,801_5_cederberg_EFG,2l,Ficinia cedarbergensis,0.359,0.45043914680050184,0.45666986156329875,TRUE,both
710_31_baviaanskloof,710_31_baviaanskloof_HK,1,Thesium virgatum,0.09,0.44999999999999996,0.3888277323113807,TRUE,both
801_19_cederberg,801_19_cederberg_EFG,5,Stoebe plumosa,0.059,0.44360902255639095,0.4387675999919788,TRUE,both
725_34_cape_point,725_34_cape_point_c,1,Drosera trinervia,0.102,0.4415584415584415,0.5478484971355233,TRUE,both
705_17_langeberg,705_17_langeberg_CM,3L,Tetraria fimbriolata,0.405,0.4411764705882353,0.5912110269602247,TRUE,both
815_14_htr,815_14_htr_BHR,2,Ehrharta ramosa subsp. ramosa,0.29,0.4403948367501898,0.7353432866114002,TRUE,both
826_13_htr,826_13_htr_BHR,1,Tetragonia microptera,0.5,0.4347826086956522,0.5498144399407375,TRUE,both
711_19_langeberg,711_19_langeberg_HKM,1,Cliffortia filicaulis,0.052,0.4315352697095436,0.47690178828466684,TRUE,both
804_26_cape_point,804_26_cape_point_a,1,Microdon dubius,0.31,0.4272915230875258,0.45396584520738886,TRUE,both
807_2_htr,807_2_htr_HKM,3,Eriocephalus spinescens,0.22,0.42718446601941745,0.4568413291286155,TRUE,both
627_9_hangklip,627_9_hangklip_CM,1,Grubbia tomentosa,0.332,0.4213197969543147,0.3914621767962484,TRUE,both
805_35_htr,805_35_htr_MAL,3,Aizoon africanum,0.462,0.4205735093309058,0.4182062210148663,TRUE,both
620_42_hangklip,620_42_hangklip_CM,3L,Ficinia nigrescens,0.333,0.4141791044776119,0.5891099278607981,TRUE,both
801_10_htr,801_10_htr_MAL,1,Lapeirousia plicata,0.238,0.4121212121212121,0.49439812995384425,TRUE,both
709_4_langeberg,709_4_langeberg_JAS,2L,Schoenus compar,0.332,0.4093711467324291,0.3962930722717485,TRUE,both
723_10_cederberg,723_10_cederberg_JS,2L,Ficinia nigrescens,0.193,0.4088983050847458,0.46308725034214915,TRUE,both
804_32_cape_point,804_32_cape_point_a,3,Erica glabella,0.1,0.40816326530612246,0.43348055781173345,TRUE,both
818_72_htr,818_72_htr_EPO,1,Adenogramma glomerata,0.2,0.4,0.6614378277661476,TRUE,both
801_19_cederberg,801_19_cederberg_EFG,3,Stoebe plumosa,0.053,0.39849624060150374,0.4387675999919788,TRUE,both
701_17_baviaanskloof,701_17_baviaanskloof_KE,1,Stoebe rhinocerotis,0.067,0.3941176470588235,0.4383322682545316,TRUE,both
730_14_cederberg,730_14_cederberg_JS,4l,Schoenus compar,0.367,0.39251336898395717,0.48399624331440344,TRUE,both
804_19_htr,804_19_htr_RDG,1,Helichrysum asperum,0.106,0.39114391143911437,0.6189528853887553,TRUE,both
730_20_cederberg,730_20_cederberg_JS,4,Stoebe rhinocerotis,0.048,0.38866396761133604,0.5134925064534179,TRUE,both
724_19_cederberg,724_19_cederberg_SM,5l,Thesium strictum,0.788,0.38703339882121807,0.6497549132524678,TRUE,both
712_7_langeberg,712_7_langeberg_EFG,5L,Ficinia nigrescens,0.285,0.3851351351351351,0.7121210091096389,TRUE,both
808_5_htr,808_5_htr_EPO,3,Ifloga glomerata,0.27,0.3770949720670391,0.40595227453256677,TRUE,both
804_15_htr,804_15_htr_RDG,1,Chrysocoma ciliata,0.135,0.3724137931034483,0.612448604923103,TRUE,both
708_20_baviaanskloof,708_20_baviaanskloof_KE,3,Urochloa serrata,0.204,0.36856368563685626,0.4618629068240111,TRUE,both
620_42_hangklip,620_42_hangklip_CM,5L,Ficinia nigrescens,0.296,0.36815920398009944,0.5891099278607981,TRUE,both
