trait_flagged,sample_id,NewUID,replicate,ScientificName_WFO,lma,leaf_thickness_mm,fwc,leaf_length_cm,avg_leaf_width_cm
leaf_length_cm,715_12_baviaanskloof_DEB,715_12_baviaanskloof,3,Erica chamissonis,NA,NA,NA,0.032,NA
leaf_length_cm,710_27_baviaanskloof_HK,710_27_baviaanskloof,2,Stoebe plumosa,NA,NA,NA,0.015,NA
leaf_length_cm,710_27_baviaanskloof_HK,710_27_baviaanskloof,3,Stoebe plumosa,NA,NA,NA,0.02,NA
leaf_length_cm,710_27_baviaanskloof_HK,710_27_baviaanskloof,1,Stoebe plumosa,NA,NA,NA,0.015,NA
leaf_length_cm,710_30_baviaanskloof_HK,710_30_baviaanskloof,3,Erica rosacea,NA,NA,NA,0.04,NA
leaf_length_cm,710_30_baviaanskloof_HK,710_30_baviaanskloof,2,Erica rosacea,NA,NA,NA,0.025,NA
leaf_length_cm,710_30_baviaanskloof_HK,710_30_baviaanskloof,1,Erica rosacea,NA,NA,NA,0.032,NA
leaf_length_cm,719_36_baviaanskloof_JAS,719_36_baviaanskloof,2,Stoebe plumosa,NA,NA,NA,0.025,NA
leaf_length_cm,719_36_baviaanskloof_JAS,719_36_baviaanskloof,1,Stoebe plumosa,NA,NA,NA,0.02,NA
leaf_length_cm,719_36_baviaanskloof_JAS,719_36_baviaanskloof,3,Stoebe plumosa,NA,NA,NA,0.022,NA
leaf_length_cm,723_3_baviaanskloof_TEM,723_3_baviaanskloof,3,Stoebe plumosa,NA,NA,NA,0.012,NA
leaf_length_cm,723_3_baviaanskloof_TEM,723_3_baviaanskloof,1,Stoebe plumosa,NA,NA,NA,0.011,NA
leaf_length_cm,723_3_baviaanskloof_TEM,723_3_baviaanskloof,2,Stoebe plumosa,NA,NA,NA,0.012,NA
leaf_length_cm,725_29_cape_point_c,725_29_cape_point,1,Stoebe scabra,NA,NA,NA,0.044,NA
leaf_length_cm,725_4_cape_point_a,725_4_cape_point,2,Erica imbricata,NA,NA,NA,0.029,NA
avg_leaf_width_cm,826_1_htr_BHR,826_1_htr,2,Eriocephalus namaquensis,NA,NA,NA,NA,0.005
avg_leaf_width_cm,710_27_baviaanskloof_HK,710_27_baviaanskloof,2,Stoebe plumosa,NA,NA,NA,NA,0.004
avg_leaf_width_cm,710_27_baviaanskloof_HK,710_27_baviaanskloof,3,Stoebe plumosa,NA,NA,NA,NA,0.005
avg_leaf_width_cm,710_27_baviaanskloof_HK,710_27_baviaanskloof,1,Stoebe plumosa,NA,NA,NA,NA,0.005
avg_leaf_width_cm,719_36_baviaanskloof_JAS,719_36_baviaanskloof,2,Stoebe plumosa,NA,NA,NA,NA,0.005
avg_leaf_width_cm,719_36_baviaanskloof_JAS,719_36_baviaanskloof,1,Stoebe plumosa,NA,NA,NA,NA,0.005
avg_leaf_width_cm,719_36_baviaanskloof_JAS,719_36_baviaanskloof,3,Stoebe plumosa,NA,NA,NA,NA,0.004
avg_leaf_width_cm,723_3_baviaanskloof_TEM,723_3_baviaanskloof,3,Stoebe plumosa,NA,NA,NA,NA,0.002
avg_leaf_width_cm,723_3_baviaanskloof_TEM,723_3_baviaanskloof,1,Stoebe plumosa,NA,NA,NA,NA,0.003
avg_leaf_width_cm,723_3_baviaanskloof_TEM,723_3_baviaanskloof,2,Stoebe plumosa,NA,NA,NA,NA,0.002
avg_leaf_width_cm,723_24_cape_point_a,723_24_cape_point,2,Berzelia lanuginosa,NA,NA,NA,NA,0.006
