"species","genus_species_GM","family_GM","family_POSA","ScientificName_WFO","scientificNameAuthorship","Family_WFO","perennial","annual","lifecycle_POSA","monoecious","dioecious","evergreen","deciduous","seasonally_apparent","seasonally_identifiable","flower_postfire","resprout_postfire","serotinous","flower_begin","flower_end","flower_begin_alt","flower_end_alt","max_height_cm","herb","geophyte","graminoid","low_shrub","mid_shrub","tall_shrub","tree","scrambler","liana","hemiparasite","parasite","missing_growthform_class","succulent","leaf_succulent","stem_succulent","other_succulent","leaf_type","lvs_linear","lvs_intermediate","lvs_oval","lvs_compound","lvs_lobed","lvs_dissected","leaf_length","virtually_no_leaves","stems_photosynthetic","functional_leaf","functional_twig","plant_longevity","flammability","pollination","dispersal"
"Elegia fistulosa","Elegia fistulosa","Restionaceae","Restionaceae","Elegia fistulosa","Kunth","Restionaceae",1,0,"Perennial",0,1,1,1,0,0,0,0,0,"Apr","Nov","","",70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,NA,1,1,"culm_stem","",2,"h","w","p"
"Elegia galpinii","Elegia galpinii","Restionaceae","Restionaceae","Elegia galpinii","N.E.Br.","Restionaceae",1,0,"Perennial",0,1,1,1,0,0,0,1,0,"Aug","Aug","","",100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,90.08,1,1,"culm_stem","no",2,"h","w","p"
"Elegia hookeriana","Elegia hookeriana","Restionaceae","Restionaceae","Elegia hookeriana","(Mast.) Moline & H.P.Linder","Restionaceae",1,0,"Perennial",0,1,1,0,0,0,0,0,0,"Feb","Mar","","",80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,33.24,1,1,"culm_stem","no",2,"h","w","p"
"Elegia juncea","Elegia juncea","Restionaceae","Restionaceae","Elegia juncea","L.","Restionaceae",1,0,"Perennial",0,1,1,1,0,0,0,1,0,"Aug","Aug","","",80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,61.6,1,1,"culm_stem","yes",2,"h","w","p"
"Elegia microcarpa","Chondropetalum microcarpum","Restionaceae","Restionaceae","Elegia microcarpa","(Kunth) Moline & H.P.Linder","Restionaceae",1,0,"Perennial",0,1,1,0,0,0,0,0,0,"Apr","Apr","","",30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,21.16666667,1,1,"culm_stem","no",2,"h","w","p"
"Elegia mucronata","Chondropetalum mucronatum","Restionaceae","Restionaceae","Elegia mucronata","Rchb. ex Kunth","Restionaceae",1,0,"Perennial",0,1,1,0,0,0,0,0,0,"Oct","Nov","","",200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,160.84,1,1,"culm_stem","no",2,"h","w","p"
"Elegia neesii","Elegia neesii","Restionaceae","Restionaceae","Elegia neesii","Mast.","Restionaceae",1,0,"Perennial",0,1,1,0,0,0,0,0,0,"Oct","Oct","","",70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,51.12,1,1,"culm_stem","no",2,"h","w","p"
"Elegia nuda","Chondropetalum nudum","Restionaceae","Restionaceae","Elegia nuda","(Rottb.) Kunth","Restionaceae",1,0,"Perennial",0,1,1,0,0,0,0,0,0,"Apr","Jun","","",50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,32.64285714,1,1,"culm_stem","no",2,"h","w","p"
"Elegia persistens","Elegia persistens","Restionaceae","Restionaceae","Elegia persistens","Mast.","Restionaceae",1,0,"Perennial",0,1,1,0,0,0,0,0,0,"Mar","May","","",100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,46.21,1,1,"culm_stem","no",2,"h","w","p"
"Elegia racemosa","Elegia racemosa","Restionaceae","Restionaceae","Elegia racemosa","Pers.","Restionaceae",1,0,"Perennial",0,1,1,1,0,0,0,1,0,"Sep","Sep","","",100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,111.04,1,1,"culm_stem","no",2,"h","w","p"
"Elegia spathacea","Elegia spathacea","Restionaceae","Restionaceae","Elegia spathacea","Mast.","Restionaceae",1,0,"Perennial",0,1,1,0,0,0,0,0,0,"Oct","Feb","","",60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,42.1,1,1,"culm_stem","no",2,"h","w","p"
"Elegia stipularis","Elegia stipularis","Restionaceae","Restionaceae","Elegia stipularis","Mast.","Restionaceae",1,0,"Perennial",0,1,1,0,0,0,0,0,0,"Jun","Jul","","",50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,30.99411765,1,1,"culm_stem","no",2,"h","w","p"
"Elegia tectorum","Chondropetalum tectorum","Restionaceae","Restionaceae","Elegia tectorum","(L.f.) Moline & H.P.Linder","Restionaceae",1,0,"Perennial",0,1,1,1,0,0,0,0,0,"Apr","Jun","","",100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,51.3,1,1,"culm_stem","no",2,"h","w","p"
"Elegia thyrsifera","Elegia thyrsifera","Restionaceae","Restionaceae","Elegia thyrsifera","Pers.","Restionaceae",1,0,"Perennial",0,1,1,1,0,0,0,1,0,"Nov","Jan","","",100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,77,1,1,"culm_stem","no",2,"h","w","p"
"Elegia vaginulata","Elegia vaginulata","Restionaceae","Restionaceae","Elegia vaginulata","Mast.","Restionaceae",1,0,"Perennial",0,1,1,0,0,0,0,1,0,"Oct","Jan","","",40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,24.3,1,1,"culm_stem","mixed",2,"h","w","p"
"Elytropappus adpressus","Elytropappus adpressus","Asteraceae","Asteraceae","Dicerothamnus adpressus","(Harv.) Koek.","Asteraceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Mar","Jul","","",200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,3.08,0,0,"leaf","",2,"h","i","w"
"Elytropappus glandulosus","Elytropappus glandulosus","Asteraceae","Asteraceae","Myrovernix glandulosus","(Less.) Koek.","Asteraceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Mar","Jun","","",50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.916,0,0,"leaf","",2,"h","i","w"
"Elytropappus gnaphaloides","Elytropappus gnaphaloides","Asteraceae","Asteraceae","Myrovernix gnaphaloides","(L.) Koek.","Asteraceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Jan","Apr","","",50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.466,0,0,"leaf","",2,"h","i","w"
"Elytropappus intricata","Elytropappus intricata","Asteraceae","Asteraceae","Elytropappus","Cass.","Asteraceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Apr","Jul","","",100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.255,0,0,"leaf","no",2,"h","i","w"
"Elytropappus longifolius","Elytropappus longifolius","Asteraceae","Asteraceae","Myrovernix muricata","(Spreng. ex Sch.Bip.) Koekemoer, ined.","Asteraceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Feb","Apr","","",100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,1.006,0,0,"leaf","",2,"h","i","w"
"Elytropappus rhinocerotis","Elytropappus rhinocerotis","Asteraceae","Asteraceae","Elytropappus rhinocerotis","Less.","Asteraceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Feb","Apr","","",200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.472380952,0,0,"leaf","",2,"h","i","w"
"Elytropappus scaber","Elytropappus scaber","Asteraceae","Asteraceae","Elytropappus scaber","(L.f.) Levyns","Asteraceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Feb","May","","",100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.388370588,0,0,"leaf","",2,"h","i","w"
"Enneapogon scoparius","Enneapogon scoparius","Poaceae","Poaceae","Enneapogon scoparius","Stapf","Poaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Sep","Mar","","",35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,8.22,0,0,"leaf","",2,"m","w","w"
"Epischoenus adnatus","Epischoenus adnatus","Cyperaceae","Cyperaceae","Schoenus adnatus","(Levyns) T.L.Elliott & Muasya","Cyperaceae",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Feb","Aug","","",100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,0,0,0,0,0,NA,1,1,"culm_stem","",2,"h","w","p"
"Epischoenus gracilis","Epischoenus gracilis","Cyperaceae","Cyperaceae","Schoenus gracillimus","T.L.Elliott & Muasya","Cyperaceae",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Dec","Mar","","",90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,0,0,0,0,0,67.62,1,1,"culm_stem","no",2,"h","w","p"
"Epischoenus quadrangularis","Epischoenus quadrangularis","Cyperaceae","Cyperaceae","Schoenus quadrangularis","Boeckeler","Cyperaceae",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Nov","May","","",75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,0,0,0,0,0,56.875,1,1,"culm_stem","no",2,"h","w","p"
"Eragrostis capensis","Eragrostis capensis","Poaceae","Poaceae","Eragrostis capensis","(Thunb.) Trin.","Poaceae",1,0,"Perennial",1,0,1,0,0,1,0,1,0,"Sep","Apr","","",90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,14.11666667,0,0,"leaf","",2,"h","w","w"
"Eragrostis curvula","Eragrostis curvula","Poaceae","Poaceae","Eragrostis curvula","(Schrad.) Nees","Poaceae",1,0,"Perennial",1,0,1,0,0,1,0,1,0,"Jan","Dec","","",100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,35.91666667,0,0,"leaf","",2,"h","w","w"
"Eragrostis obtusa","Eragrostis obtusa","Poaceae","Poaceae","Eragrostis obtusa","Munro ex Ficalho & Hiern","Poaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Jul","May","","",45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,4.408333333,0,0,"leaf","",2,"m","w","w"
"Eragrostis plana","Eragrostis plana","Poaceae","Poaceae","Eragrostis plana","Nees","Poaceae",1,0,"Perennial",1,0,1,0,0,1,0,1,0,"Nov","May","","",100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,NA,0,0,"leaf","",2,"h","w","w"
"Eragrostis racemosa","Eragrostis racemosa","Poaceae","Poaceae","Eragrostis racemosa","(Thunb.) Steud.","Poaceae",1,0,"Perennial",1,0,1,0,0,1,0,1,0,"Aug","May","","",8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,NA,0,0,"leaf","",2,"h","w","w"
"Eragrostis sabulosa","Eragrostis sabulosa","Poaceae","Poaceae","Eragrostis sabulosa","(Steud.) Schweick.","Poaceae",1,0,"Perennial",1,0,1,0,0,1,0,1,0,"Oct","Nov","","",15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,NA,0,0,"leaf","",2,"h","w","w"
"Erepsia anceps","Erepsia anceps","Aizoaceae","Mesembryanthemaceae","Erepsia anceps","(Haw.) Schwantes","Aizoaceae",1,0,"Perennial",1,0,1,0,0,1,1,0,0,"Dec","Mar","","",30,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,"Leaf",1,0,0,0,0,0,2.38,0,0,"leaf","",1,"l","i","p"
"Erepsia aspera","Erepsia aspera","Aizoaceae","Mesembryanthemaceae","Erepsia aspera","(Haw.) L.Bolus","Aizoaceae",1,0,"Perennial",1,0,1,0,0,1,1,1,0,"Dec","Mar","","",40,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,"Leaf",0,1,0,0,0,0,1.308,0,0,"leaf","",2,"l","i","p"
"Erepsia bracteata","Erepsia bracteata","Aizoaceae","Mesembryanthemaceae","Erepsia bracteata","(Aiton) Schwantes","Aizoaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Jan","Apr","","",50,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,"Leaf",0,1,0,0,0,0,NA,0,0,"leaf","",1,"l","i","p"
"Erepsia distans","Erepsia distans","Aizoaceae","Mesembryanthemaceae","Erepsia distans","L.Bolus","Aizoaceae",1,0,"Perennial",1,0,1,0,0,1,1,1,0,"Nov","Mar","","",70,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,"Leaf",1,0,0,0,0,0,NA,0,0,"leaf","",2,"l","i","p"
"Erepsia promontorii","Erepsia promontorii","Aizoaceae","Mesembryanthemaceae","Erepsia promontorii","L.Bolus","Aizoaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Jan","Jan","","",20,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,"Leaf",1,0,0,0,0,0,NA,0,0,"leaf","",2,"l","i","p"
"Erepsia saturata","Erepsia saturata","Aizoaceae","Mesembryanthemaceae","Erepsia saturata","L.Bolus","Aizoaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Feb","May","","",40,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,"Leaf",1,0,0,0,0,0,NA,0,0,"leaf","",2,"l","i","p"
"Erica abietina","Erica abietina","Ericaceae","Ericaceae","Erica abietina","L.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Jan","Sep","","",100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.66,0,0,"leaf","",2,"h","m","p"
"Erica affinis","Erica affinis","Ericaceae","Ericaceae","Erica affinis","Benth.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Sep","Dec","","",100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,NA,0,0,"leaf","",2,"h","i","p"
"Erica albens","Erica albens","Ericaceae","Ericaceae","Erica albens","L.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Apr","Dec","","",120,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,NA,0,0,"leaf","",2,"h","i","p"
"Erica amphigena","Erica amphigena","Ericaceae","Ericaceae","Erica amphigena","Guthrie & Bolus","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Sep","Dec","","",60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,NA,0,0,"leaf","",2,"h","i","p"
"Erica anguliger","Erica anguliger","Ericaceae","Ericaceae","Erica anguliger","(N.E.Br.) E.G.H.Oliv.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Apr","Sep","","",20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.214666667,0,0,"leaf","",2,"h","i","p"
"Erica angulosa","Erica angulosa","Ericaceae","Ericaceae","Erica angulosa","E.G.H.Oliv.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Mar","Apr","","",50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,NA,0,0,"leaf","",2,"h","i","p"
"Erica ardens","Erica ardens","Ericaceae","Ericaceae","Erica ardens","Andrews","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Apr","Oct","","",70,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,NA,0,0,"leaf","",2,"h","i","p"
"Erica areolata","Erica areolata","Ericaceae","Ericaceae","Erica areolata","(N.E.Br.) E.G.H.Oliv.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Aug","Nov","","",50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.35,0,0,"leaf","",2,"h","w","p"
"Erica articularis","Erica articularis","Ericaceae","Ericaceae","Erica articularis","L.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Jan","Dec","","",100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.456111111,0,0,"leaf","",2,"h","i","p"
"Erica atropurpurea","Erica atropurpurea","Ericaceae","Ericaceae","Erica atropurpurea","Dulfer","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Aug","Nov","","",30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,NA,0,0,"leaf","",2,"m","i","p"
"Erica axillaris","Erica axillaris","Ericaceae","Ericaceae","Erica axillaris","Thunb.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"May","Dec","","",80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.39375,0,0,"leaf","",2,"h","w","p"
"Erica azaleifolia","Erica azaleifolia","Ericaceae","Ericaceae","Erica azaleifolia","Salisb.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Oct","Feb","","",30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,1,0,0,0,0,NA,0,0,"leaf","",2,"m","i","p"
"Erica banksii","Erica comptonii","Ericaceae","Ericaceae","Erica banksii","Andrews","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,1,0,"Jan","Jul","","",60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,NA,0,0,"leaf","",2,"h","m","p"
"Erica blenna","Erica blenna","Ericaceae","Ericaceae","Erica blenna","Salisb.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Apr","Nov","","",100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,NA,0,0,"leaf","",2,"h","i","p"
"Erica bolusanthus","Erica bolusanthus","Ericaceae","Ericaceae","Erica bolusanthus","E.G.H.Oliv.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Nov","Apr","","",25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,NA,0,0,"leaf","",2,"h","i","p"
"Erica brachialis","Erica brachialis","Ericaceae","Ericaceae","Erica brachialis","Salisb.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,1,0,"Dec","Mar","","",200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.64,0,0,"leaf","",3,"h","m","p"
"Erica bracteolaris","Erica bracteolaris","Ericaceae","Ericaceae","Erica bracteolaris","Lam.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Jul","Feb","","",50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,NA,0,0,"leaf","",2,"h","i","p"
"Erica brevicaulis","Erica brevicaulis","Ericaceae","Ericaceae","Erica brevicaulis","Guthrie & Bolus","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Nov","Jan","","",10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,1,0,0,0,0,NA,0,0,"leaf","",2,"h","i","p"
"Erica bruniades","Erica bruniades","Ericaceae","Ericaceae","Erica bruniades","L.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Aug","Dec","","",50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.242857143,0,0,"leaf","",2,"h","i","p"
"Erica caffra","Erica caffra","Ericaceae","Ericaceae","Erica afra","L.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,1,0,"Jul","Dec","","",400,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,1.012,0,0,"leaf","",3,"h","i","p"
"Erica calycina","Erica langebergensis","Ericaceae","Ericaceae","Erica calycina","L.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Oct","Oct","","",50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.362,0,0,"leaf","",2,"h","i","p"
"Erica capensis","Erica capensis","Ericaceae","Ericaceae","Erica turbiniflora","Salisb.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Dec","Apr","","",50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.42,0,0,"leaf","",2,"m","i","p"
"Erica capillaris","Erica capillaris","Ericaceae","Ericaceae","Erica capillaris","Bartl.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Dec","Apr","","",30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.275,0,0,"leaf","",2,"h","i","p"
"Erica carduifolia","Erica carduifolia","Ericaceae","Ericaceae","Erica carduifolia","Salisb.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Aug","Nov","","",40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,1,0,0,0,0,NA,0,0,"leaf","",2,"h","i","p"
"Erica cerinthoides","Erica cerinthoides","Ericaceae","Ericaceae","Erica cerinthoides","L.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,1,1,0,"Jan","Dec","","",30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.636428571,0,0,"leaf","",3,"h","i","p"
"Erica chamissonis","Erica chamissonis","Ericaceae","Ericaceae","Erica chamissonis","Klotzsch ex Benth.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Oct","May","","",60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.204,0,0,"leaf","",2,"h","i","p"
"Erica clavisepala","Erica clavisepala","Ericaceae","Ericaceae","Erica clavisepala","Guthrie & Bolus","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Feb","Apr","","",30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,0,1,0,0,0,0.228571429,0,0,"leaf","",2,"h","i","p"
"Erica coarctata","Erica coarctata","Ericaceae","Ericaceae","Erica coarctata","J.C.Wendl.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Apr","Sep","","",30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.88,0,0,"leaf","",2,"h","w","p"
"Erica coccinea","Erica coccinea","Ericaceae","Ericaceae","Erica coccinea","L.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,1,0,"Jan","Dec","","",120,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.522777778,0,0,"leaf","",2,"h","i","p"
"Erica condensata","Erica condensata","Ericaceae","Ericaceae","Erica condensata","Benth.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Sep","Feb","","",50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,NA,0,0,"leaf","",2,"h","i","p"
"Erica conferta","Erica conferta","Ericaceae","Ericaceae","Erica conferta","Andrews","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Jan","Apr","","",100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,NA,0,0,"leaf","",2,"h","i","p"
"Erica copiosa","Erica copiosa","Ericaceae","Ericaceae","Erica copiosa","J.C.Wendl.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Jan","Dec","","",150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,1,0,0,0,0,NA,0,0,"leaf","",2,"h","w","p"
"Erica cordata","Erica cordata","Ericaceae","Ericaceae","Erica cordata","Andrews","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"May","Nov","","",100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,0,1,0,0,0,0.40625,0,0,"leaf","",2,"m","i","p"
"Erica corifolia","Erica corifolia","Ericaceae","Ericaceae","Erica corifolia","L.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Jan","Dec","","",100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.467,0,0,"leaf","",2,"h","i","p"
"Erica corydalis","Erica corydalis","Ericaceae","Ericaceae","Erica corydalis","Salisb.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Oct","Jan","","",50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,1,0,0,0,0,NA,0,0,"leaf","",2,"h","i","p"
"Erica cristata","Erica cristata","Ericaceae","Ericaceae","Erica cristata","Dulfer","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Dec","Jun","","",60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.282,0,0,"leaf","",2,"m","i","p"
"Erica cubica","Erica cubica","Ericaceae","Ericaceae","Erica cubica","L.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Jul","Dec","","",45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.472,0,0,"leaf","",2,"h","i","p"
"Erica curviflora","Erica curviflora","Ericaceae","Ericaceae","Erica curviflora","L.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Jan","Dec","","",160,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.442,0,0,"leaf","",2,"h","m","p"
"Erica curvifolia","Erica curvifolia","Ericaceae","Ericaceae","Erica curvifolia","Salisb.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Dec","Mar","","",45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,NA,0,0,"leaf","",2,"h","i","p"
"Erica daphniflora","Erica daphniflora","Ericaceae","Ericaceae","Erica daphniflora","Salisb.","Ericaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Jul","Mar","","",100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.438,0,0,"leaf","",2,"h","i","p"
